No.,Author,Comment
0,Trần Toản,"ặt cọc 5% thì chủ dự án có thể hủy HĐ và đền cọc bằng số tiền đặt cọc khi nhà đất tăng cao trong quá trình xây dựng và hoàn thành pháp lý. VD: Dự án 3 năm, nhận cọc 5%, 2 năm sau dự án gần hoàn thành thì giá đã tăng lên 30%. Như vậy chủ dự án có quyền chấm dứt HĐ và thựa hiện đền bù gấp 2 lần tiền cọc ( Cao nhất theo quy định luật VN ) mà không vi phạm. Ai là người bảo vệ quyền lợi cho người mua trong trường hợp này?"
1,menlangvayquangbi,ì chứ cái này tớ ủng hộ cả hai tay
2,Connie Nguyen,hị trường này ở Mỹ là 2%. Ở Việt Nam cho 5% cũng là khá cao.
3,hoangbuihuy84,ọc chẳng qua là khoản tiền để thể hiện rõ thiện chí của 2 bên. Nên nó ở mức 2-5% là đẹp. Chứ lên đến 30% thì thường là khoản tạm ứng cho HĐ. Còn lên đến 80% thì cũng gần như hoàn thành xong HĐ rồi
4,Việt Thắng Vũ,"ọc nhà trên giấy là giao dịch thỏa thuận, có dự án thu luôn 95% ( dạng hợp đồng đặt cọc )."
5,trungdoanbds79,ề xuất này sẽ bảo vệ người đặt cọc dự án. Tránh trường hợp thu đến 30% như hiện nay
6,Minh Do,ặt cọc cao quá thì rủi ro cho bên mua mà thấp quá cũng bất lợi cho bên mua. Đặt cọc cao thì bài viết đã phân tích nhưng thấp quá thì sao? Ví dụ đặt cọc 2% mà nhà đất tăng giá 10% thì chủ đầu tư sẵn sàng hủy cọc để bán cho người khác vì chỉ bồi thường 2%. Theo tôi thì nên quy định tiền cọc không quá 5% và quan trọng là chủ đầu tư phải bồi thường gấp 5 lần nếu hủy cọc.
7,Bem Bem,úng là chủ đầu tư phải đủ năng lực hoàn thành hạ tầng.
8,khoa.automobile,"hà, đất trên giấy mà cũng đi mua...còn cọc 5% nữa là sao. Mua một thứ mà rủi ro quá cao..."
9,bhu adier,"ự án hình thành trong tương lai (trên giấy) phải được ngân hàng bảo lãnh bằng Văn bản đàng hoàng
Còn cọc bao nhiêu đó chỉ là thỏa thuận dân sự giữa khách hàng và người bán"
